buffer_length,throughtput,transfered_length
80,0.69,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.69,1073.74
80,0.67,1073.74
80,0.70,1073.74
80,0.67,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.70,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.68,1073.74
80,0.69,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.65,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.69,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.69,1073.74
80,0.67,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.66,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.68,1073.74
80,0.68,1073.74
80,0.67,1073.74
80,0.67,1073.74
80,0.66,1073.74
80,0.67,1073.74
80,0.67,1073.74
320,2.76,1073.74
320,2.71,1073.74
320,2.75,1073.74
320,2.65,1073.74
320,2.70,1073.74
320,2.65,1073.74
320,2.69,1073.74
320,2.70,1073.74
320,2.66,1073.74
320,2.73,1073.74
320,2.75,1073.74
320,2.81,1073.74
320,2.66,1073.74
320,2.69,1073.74
320,2.68,1073.74
320,2.74,1073.74
320,2.68,1073.74
320,2.82,1073.74
320,2.74,1073.74
320,2.72,1073.74
320,2.69,1073.74
320,2.71,1073.74
320,2.62,1073.74
320,2.79,1073.74
320,2.71,1073.74
320,2.75,1073.74
320,2.61,1073.74
320,2.79,1073.74
320,2.74,1073.74
320,2.66,1073.74
320,2.68,1073.74
320,2.74,1073.74
320,2.83,1073.74
320,2.70,1073.74
320,2.68,1073.74
320,2.75,1073.74
320,2.62,1073.74
320,2.64,1073.74
320,2.70,1073.74
320,2.71,1073.74
320,2.61,1073.74
320,2.65,1073.74
320,2.65,1073.74
320,2.75,1073.74
320,2.68,1073.74
320,2.72,1073.74
320,2.81,1073.74
320,2.60,1073.74
320,2.78,1073.74
320,2.69,1073.74
320,2.70,1073.74
320,2.65,1073.74
320,2.76,1073.74
320,2.70,1073.74
320,2.83,1073.74
320,2.65,1073.74
320,2.73,1073.74
320,2.72,1073.74
320,2.70,1073.74
320,2.74,1073.74
320,2.74,1073.74
320,2.66,1073.74
320,2.78,1073.74
320,2.84,1073.74
320,2.71,1073.74
320,2.68,1073.74
320,2.63,1073.74
320,2.66,1073.74
320,2.77,1073.74
320,2.64,1073.74
320,2.64,1073.74
320,2.80,1073.74
320,2.73,1073.74
320,2.65,1073.74
320,2.71,1073.74
320,2.78,1073.74
320,2.69,1073.74
320,2.70,1073.74
320,2.70,1073.74
320,2.65,1073.74
320,2.66,1073.74
320,2.76,1073.74
320,2.68,1073.74
320,2.68,1073.74
320,2.77,1073.74
320,2.67,1073.74
320,2.73,1073.74
320,2.70,1073.74
320,2.80,1073.74
320,2.67,1073.74
320,2.73,1073.74
320,2.71,1073.74
320,2.70,1073.74
320,2.70,1073.74
320,2.82,1073.74
320,2.59,1073.74
320,2.85,1073.74
320,2.60,1073.74
320,2.71,1073.74
320,2.84,1073.74
640,5.39,1073.74
640,5.46,1073.74
640,5.32,1073.74
640,5.63,1073.74
640,5.68,1073.74
640,5.58,1073.74
640,5.48,1073.74
640,5.49,1073.74
640,5.51,1073.74
640,5.35,1073.74
640,5.38,1073.74
640,5.45,1073.74
640,5.63,1073.74
640,5.34,1073.74
640,5.29,1073.74
640,5.30,1073.74
640,5.37,1073.74
640,5.44,1073.74
640,5.54,1073.74
640,5.45,1073.74
640,5.28,1073.74
640,5.61,1073.74
640,5.35,1073.74
640,5.32,1073.74
640,5.49,1073.74
640,5.58,1073.74
640,5.53,1073.74
640,5.70,1073.74
640,5.68,1073.74
640,5.41,1073.74
640,5.56,1073.74
640,5.54,1073.74
640,5.30,1073.74
640,5.70,1073.74
640,5.39,1073.74
640,5.49,1073.74
640,5.68,1073.74
640,5.47,1073.74
640,5.50,1073.74
640,5.53,1073.74
640,5.40,1073.74
640,5.63,1073.74
640,5.31,1073.74
640,5.17,1073.74
640,5.64,1073.74
640,5.65,1073.74
640,5.54,1073.74
640,5.33,1073.74
640,5.40,1073.74
640,5.20,1073.74
640,5.53,1073.74
640,5.59,1073.74
640,5.48,1073.74
640,5.53,1073.74
640,5.31,1073.74
640,5.30,1073.74
640,5.63,1073.74
640,5.33,1073.74
640,5.61,1073.74
640,5.58,1073.74
640,5.37,1073.74
640,5.28,1073.74
640,5.63,1073.74
640,5.41,1073.74
640,5.46,1073.74
640,5.48,1073.74
640,5.59,1073.74
640,5.40,1073.74
640,5.51,1073.74
640,5.50,1073.74
640,5.43,1073.74
640,5.38,1073.74
640,5.67,1073.74
640,5.59,1073.74
640,5.59,1073.74
640,5.19,1073.74
640,5.55,1073.74
640,5.56,1073.74
640,5.71,1073.74
640,5.37,1073.74
640,5.45,1073.74
640,5.60,1073.74
640,5.46,1073.74
640,5.43,1073.74
640,5.29,1073.74
640,5.49,1073.74
640,5.43,1073.74
640,5.40,1073.74
640,5.58,1073.74
640,5.70,1073.74
640,5.43,1073.74
640,5.38,1073.74
640,5.61,1073.74
640,5.40,1073.74
640,5.46,1073.74
640,5.52,1073.74
640,5.58,1073.74
640,5.42,1073.74
640,5.32,1073.74
640,5.37,1073.74
4096,26.07,1073.74
4096,25.36,1073.74
4096,25.11,1073.74
4096,25.31,1073.74
4096,24.20,1073.74
4096,25.18,1073.74
4096,25.37,1073.74
4096,26.15,1073.74
4096,25.94,1073.74
4096,26.36,1073.74
4096,26.27,1073.74
4096,25.61,1073.74
4096,25.84,1073.74
4096,24.26,1073.74
4096,25.83,1073.74
4096,24.70,1073.74
4096,24.63,1073.74
4096,25.30,1073.74
4096,25.59,1073.74
4096,25.49,1073.74
4096,25.69,1073.74
4096,26.63,1073.74
4096,25.78,1073.74
4096,26.21,1073.74
4096,26.44,1073.74
4096,26.40,1073.74
4096,26.31,1073.74
4096,26.62,1073.74
4096,26.43,1073.74
4096,24.53,1073.74
4096,25.53,1073.74
4096,26.56,1073.74
4096,25.83,1073.74
4096,26.70,1073.74
4096,25.43,1073.74
4096,25.67,1073.74
4096,26.18,1073.74
4096,25.21,1073.74
4096,25.69,1073.74
4096,25.67,1073.74
4096,26.45,1073.74
4096,25.84,1073.74
4096,25.22,1073.74
4096,25.77,1073.74
4096,25.83,1073.74
4096,24.92,1073.74
4096,25.48,1073.74
4096,25.55,1073.74
4096,26.15,1073.74
4096,25.44,1073.74
4096,25.44,1073.74
4096,26.11,1073.74
4096,25.73,1073.74
4096,26.31,1073.74
4096,26.52,1073.74
4096,23.14,1073.74
4096,25.25,1073.74
4096,26.49,1073.74
4096,26.32,1073.74
4096,25.81,1073.74
4096,25.28,1073.74
4096,26.99,1073.74
4096,26.74,1073.74
4096,25.83,1073.74
4096,26.11,1073.74
4096,25.89,1073.74
4096,26.24,1073.74
4096,26.03,1073.74
4096,25.12,1073.74
4096,26.37,1073.74
4096,25.07,1073.74
4096,25.96,1073.74
4096,26.10,1073.74
4096,24.80,1073.74
4096,26.19,1073.74
4096,25.04,1073.74
4096,25.88,1073.74
4096,24.71,1073.74
4096,25.46,1073.74
4096,25.73,1073.74
4096,26.13,1073.74
4096,24.96,1073.74
4096,25.88,1073.74
4096,25.26,1073.74
4096,26.01,1073.74
4096,25.20,1073.74
4096,25.51,1073.74
4096,24.74,1073.74
4096,25.23,1073.74
4096,24.33,1073.74
4096,25.49,1073.74
4096,26.19,1073.74
4096,26.46,1073.74
4096,25.79,1073.74
4096,26.23,1073.74
4096,25.56,1073.74
4096,25.37,1073.74
4096,26.09,1073.74
4096,26.48,1073.74
4096,26.17,1073.74
8182,41.57,1073.75
8182,40.24,1073.75
8182,40.87,1073.75
8182,39.79,1073.75
8182,41.29,1073.75
8182,39.82,1073.75
8182,41.22,1073.75
8182,40.67,1073.75
8182,39.02,1073.75
8182,40.01,1073.75
8182,40.46,1073.75
8182,40.19,1073.75
8182,40.41,1073.75
8182,40.74,1073.75
8182,39.89,1073.75
8182,40.04,1073.75
8182,41.00,1073.75
8182,39.59,1073.75
8182,41.33,1073.75
8182,39.15,1073.75
8182,36.76,1073.75
8182,39.08,1073.75
8182,41.01,1073.75
8182,40.76,1073.75
8182,40.39,1073.75
8182,40.48,1073.75
8182,40.08,1073.75
8182,40.95,1073.75
8182,41.12,1073.75
8182,40.24,1073.75
8182,40.70,1073.75
8182,40.68,1073.75
8182,40.24,1073.75
8182,39.99,1073.75
8182,39.02,1073.75
8182,40.11,1073.75
8182,39.02,1073.75
8182,40.97,1073.75
8182,40.69,1073.75
8182,40.02,1073.75
8182,39.17,1073.75
8182,39.82,1073.75
8182,39.75,1073.75
8182,40.46,1073.75
8182,35.32,1073.75
8182,36.69,1073.75
8182,38.32,1073.75
8182,40.03,1073.75
8182,39.55,1073.75
8182,39.23,1073.75
8182,38.81,1073.75
8182,40.58,1073.75
8182,39.89,1073.75
8182,39.81,1073.75
8182,41.13,1073.75
8182,40.00,1073.75
8182,37.93,1073.75
8182,40.43,1073.75
8182,39.40,1073.75
8182,40.23,1073.75
8182,41.26,1073.75
8182,40.86,1073.75
8182,40.95,1073.75
8182,41.21,1073.75
8182,40.34,1073.75
8182,40.65,1073.75
8182,39.67,1073.75
8182,39.38,1073.75
8182,39.06,1073.75
8182,39.56,1073.75
8182,41.41,1073.75
8182,40.47,1073.75
8182,39.39,1073.75
8182,41.40,1073.75
8182,40.26,1073.75
8182,40.69,1073.75
8182,39.82,1073.75
8182,40.37,1073.75
8182,40.72,1073.75
8182,40.79,1073.75
8182,40.60,1073.75
8182,40.11,1073.75
8182,41.35,1073.75
8182,41.09,1073.75
8182,40.71,1073.75
8182,40.62,1073.75
8182,39.90,1073.75
8182,41.46,1073.75
8182,40.06,1073.75
8182,39.86,1073.75
8182,41.23,1073.75
8182,39.63,1073.75
8182,41.38,1073.75
8182,40.66,1073.75
8182,40.77,1073.75
8182,40.19,1073.75
8182,39.85,1073.75
8182,40.58,1073.75
8182,40.64,1073.75
8182,41.60,1073.75
16384,45.50,1073.74
16384,43.04,1073.74
16384,43.60,1073.74
16384,44.20,1073.74
16384,44.30,1073.74
16384,46.21,1073.74
16384,44.39,1073.74
16384,44.54,1073.74
16384,44.53,1073.74
16384,43.70,1073.74
16384,43.64,1073.74
16384,45.31,1073.74
16384,43.82,1073.74
16384,43.81,1073.74
16384,43.73,1073.74
16384,44.12,1073.74
16384,43.83,1073.74
16384,44.17,1073.74
16384,46.51,1073.74
16384,43.42,1073.74
16384,42.34,1073.74
16384,43.84,1073.74
16384,44.55,1073.74
16384,44.21,1073.74
16384,43.36,1073.74
16384,44.09,1073.74
16384,43.48,1073.74
16384,45.37,1073.74
16384,42.23,1073.74
16384,43.63,1073.74
16384,43.07,1073.74
16384,40.24,1073.74
16384,42.37,1073.74
16384,43.81,1073.74
16384,43.42,1073.74
16384,43.72,1073.74
16384,44.32,1073.74
16384,44.57,1073.74
16384,44.63,1073.74
16384,43.13,1073.74
16384,44.41,1073.74
16384,43.32,1073.74
16384,43.31,1073.74
16384,44.47,1073.74
16384,44.45,1073.74
16384,44.08,1073.74
16384,44.00,1073.74
16384,43.64,1073.74
16384,43.15,1073.74
16384,43.39,1073.74
16384,43.90,1073.74
16384,43.65,1073.74
16384,44.20,1073.74
16384,45.73,1073.74
16384,43.81,1073.74
16384,38.58,1073.74
16384,49.18,1073.74
16384,44.69,1073.74
16384,29.98,1073.74
16384,43.78,1073.74
16384,44.48,1073.74
16384,44.47,1073.74
16384,45.23,1073.74
16384,43.51,1073.74
16384,36.79,1073.74
16384,43.43,1073.74
16384,44.01,1073.74
16384,43.73,1073.74
16384,43.95,1073.74
16384,43.66,1073.74
16384,46.64,1073.74
16384,41.95,1073.74
16384,42.06,1073.74
16384,41.98,1073.74
16384,43.68,1073.74
16384,43.74,1073.74
16384,43.70,1073.74
16384,46.48,1073.74
16384,44.61,1073.74
16384,43.43,1073.74
16384,44.07,1073.74
16384,43.91,1073.74
16384,43.51,1073.74
16384,44.00,1073.74
16384,43.05,1073.74
16384,49.47,1073.74
16384,47.96,1073.74
16384,43.80,1073.74
16384,41.51,1073.74
16384,40.67,1073.74
16384,42.65,1073.74
16384,44.62,1073.74
16384,43.66,1073.74
16384,43.19,1073.74
16384,43.89,1073.74
16384,44.20,1073.74
16384,36.75,1073.74
16384,43.64,1073.74
16384,45.62,1073.74
16384,43.71,1073.74
32768,48.16,1073.74
32768,49.20,1073.74
32768,48.00,1073.74
32768,48.78,1073.74
32768,48.79,1073.74
32768,49.90,1073.74
32768,50.80,1073.74
32768,49.59,1073.74
32768,49.07,1073.74
32768,48.15,1073.74
32768,49.20,1073.74
32768,48.46,1073.74
32768,48.60,1073.74
32768,49.29,1073.74
32768,45.88,1073.74
32768,44.59,1073.74
32768,42.41,1073.74
32768,43.30,1073.74
32768,47.54,1073.74
32768,48.78,1073.74
32768,53.72,1073.74
32768,49.04,1073.74
32768,49.03,1073.74
32768,48.06,1073.74
32768,49.64,1073.74
32768,50.58,1073.74
32768,53.15,1073.74
32768,49.40,1073.74
32768,52.10,1073.74
32768,52.96,1073.74
32768,49.64,1073.74
32768,49.86,1073.74
32768,48.65,1073.74
32768,45.88,1073.74
32768,48.60,1073.74
32768,49.23,1073.74
32768,48.82,1073.74
32768,43.92,1073.74
32768,49.06,1073.74
32768,43.32,1073.74
32768,49.06,1073.74
32768,46.18,1073.74
32768,49.38,1073.74
32768,48.82,1073.74
32768,49.69,1073.74
32768,48.94,1073.74
32768,42.98,1073.74
32768,49.09,1073.74
32768,50.05,1073.74
32768,40.08,1073.74
32768,48.19,1073.74
32768,49.27,1073.74
32768,45.90,1073.74
32768,46.61,1073.74
32768,45.79,1073.74
32768,49.63,1073.74
32768,48.96,1073.74
32768,49.27,1073.74
32768,47.64,1073.74
32768,49.22,1073.74
32768,50.60,1073.74
32768,49.36,1073.74
32768,49.88,1073.74
32768,49.59,1073.74
32768,48.87,1073.74
32768,48.08,1073.74
32768,46.51,1073.74
32768,49.05,1073.74
32768,48.23,1073.74
32768,48.37,1073.74
32768,48.86,1073.74
32768,48.81,1073.74
32768,48.19,1073.74
32768,48.58,1073.74
32768,47.24,1073.74
32768,51.40,1073.74
32768,49.26,1073.74
32768,48.66,1073.74
32768,52.27,1073.74
32768,48.70,1073.74
32768,48.98,1073.74
32768,46.15,1073.74
32768,44.78,1073.74
32768,42.62,1073.74
32768,48.09,1073.74
32768,44.48,1073.74
32768,49.60,1073.74
32768,48.98,1073.74
32768,48.64,1073.74
32768,48.93,1073.74
32768,48.14,1073.74
32768,49.28,1073.74
32768,49.24,1073.74
32768,48.30,1073.74
32768,47.91,1073.74
32768,38.64,1073.74
32768,48.40,1073.74
32768,48.03,1073.74
32768,47.86,1073.74
32768,42.87,1073.74
32768,48.50,1073.74
32768,42.42,1073.74
32768,47.30,1073.74
32768,50.45,1073.74
32768,49.01,1073.74
32768,49.51,1073.74
32768,48.70,1073.74
32768,48.39,1073.74
32768,48.21,1073.74
32768,48.52,1073.74
32768,49.00,1073.74
32768,48.94,1073.74
32768,47.77,1073.74
32768,49.38,1073.74
32768,48.14,1073.74
32768,53.23,1073.74
32768,48.97,1073.74
32768,48.69,1073.74
32768,49.39,1073.74
32768,44.39,1073.74
32768,47.19,1073.74
32768,48.17,1073.74
32768,38.19,1073.74
32768,48.90,1073.74
32768,48.59,1073.74
32768,48.78,1073.74
32768,48.26,1073.74
32768,49.02,1073.74
32768,50.81,1073.74
32768,45.56,1073.74
32768,48.53,1073.74
32768,47.16,1073.74
32768,48.43,1073.74
32768,49.47,1073.74
32768,48.63,1073.74
32768,49.22,1073.74
32768,48.02,1073.74
32768,48.20,1073.74
32768,47.96,1073.74
32768,45.53,1073.74
32768,49.20,1073.74
32768,48.45,1073.74
32768,45.07,1073.74
32768,46.05,1073.74
32768,41.78,1073.74
32768,48.34,1073.74
32768,49.92,1073.74
32768,47.64,1073.74
32768,49.10,1073.74
32768,50.77,1073.74
32768,50.00,1073.74
32768,43.55,1073.74
32768,46.71,1073.74
32768,48.89,1073.74
32768,48.79,1073.74
32768,48.49,1073.74
32768,45.69,1073.74
32768,48.28,1073.74
32768,48.98,1073.74
32768,49.29,1073.74
32768,49.42,1073.74
32768,46.76,1073.74
32768,47.90,1073.74
32768,48.79,1073.74
32768,50.21,1073.74
32768,47.89,1073.74
32768,48.88,1073.74
32768,49.53,1073.74
32768,48.40,1073.74
32768,49.12,1073.74
32768,49.07,1073.74
32768,48.68,1073.74
32768,48.68,1073.74
32768,48.76,1073.74
32768,49.21,1073.74
32768,48.43,1073.74
32768,50.50,1073.74
32768,44.12,1073.74
32768,48.82,1073.74
32768,48.51,1073.74
32768,48.02,1073.74
32768,49.34,1073.74
32768,49.46,1073.74
32768,38.13,1073.74
32768,46.36,1073.74
32768,48.88,1073.74
32768,48.69,1073.74
32768,49.49,1073.74
32768,47.90,1073.74
32768,49.09,1073.74
32768,46.43,1073.74
32768,39.00,1073.74
32768,49.71,1073.74
32768,47.71,1073.74
32768,48.82,1073.74
32768,49.37,1073.74
32768,49.27,1073.74
32768,48.06,1073.74
32768,48.74,1073.74
32768,48.68,1073.74
